playerID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PPG,RPG,ORPG,DRPG,APG,SPG,BPG,MPG,TPG,FG%,FT%,3PT%,postPPG,postRPG,postORPG,postDRPG,postAPG,postSPG,postBPG,postMPG,postTPG,postFG%,postFT%,post3PT%
abdelal01,256,0,3200,1465,283,563,846,85,71,70,247,484,1236,620,321,225,3,0,17,0,106,38,3,17,20,3,0,1,11,11,40,18,4,2,0,0,5.7226563,3.3046875,1.10546875,2.19921875,0.33203125,0.27734375,0.2734375,12.5,0.96484375,0.501618123,0.700934579,0,2.235294118,1.176470588,0.176470588,1,0.176470588,0,0.058823529,6.235294118,0.647058824,0.45,0.5,
abdulka01,1560,0,57446,38387,2975,9394,17440,5660,1160,3189,2527,4657,28307,15837,9304,6712,18,1,237,0,8851,5762,505,1273,2481,767,189,476,447,787,4422,2356,1419,1050,4,0,24.6070513,11.17948718,1.907051282,6.021794872,3.628205128,0.743589744,2.044230769,36.82435897,1.619871795,0.559472922,0.721410146,0.055555556,24.31223629,10.46835443,2.130801688,5.371308017,3.23628692,0.797468354,2.008438819,37.34599156,1.886075949,0.532790592,0.739957717,0
abdulma01,724,0,19202,9087,18,39,2146,3555,26,6,0,2027,8162,3597,2502,1893,0,0,58,0,1576,685,0,0,169,242,0,0,0,176,649,268,202,149,0,0,12.5511050,2.964088398,0.024861878,0.053867403,4.910220994,0.035911602,0.008287293,26.52209945,0,0.440700809,0.756594724,,11.81034483,2.913793103,0,0,4.172413793,0,0,27.17241379,0,0.412942989,0.737623762,
abdulma02,586,0,15628,8553,219,868,1087,2079,487,46,963,1106,7943,3514,1161,1051,1339,474,15,0,415,195,5,18,23,35,7,1,22,37,187,69,45,43,49,14,14.5955631,1.854948805,0.373720137,1.481228669,3.54778157,0.83105802,0.078498294,26.66894198,1.64334471,0.442402115,0.905254091,0.353995519,13,1.533333333,0.333333333,1.2,2.333333333,0.466666667,0.066666667,27.66666667,1.466666667,0.368983957,0.955555556,0.285714286
abdulta01,236,0,4807,1830,286,490,776,266,184,83,309,485,1726,720,529,372,76,18,13,0,178,68,17,24,41,11,4,4,4,14,63,24,24,20,3,0,7.7542373,3.288135593,1.211864407,2.076271186,1.127118644,0.779661017,0.351694915,20.36864407,1.309322034,0.417149479,0.703213611,0.236842105,5.230769231,3.153846154,1.307692308,1.846153846,0.846153846,0.307692308,0.307692308,13.69230769,0.307692308,0.380952381,0.833333333,0
abdulza01,505,0,11023,4557,503,1124,4065,601,131,205,14,1120,4138,1769,1400,1019,0,0,18,0,210,92,11,27,64,9,1,8,0,12,70,37,26,18,0,0,9.0237624,8.04950495,0.996039604,2.225742574,1.19009901,0.259405941,0.405940594,21.82772277,0.027722772,0.427501208,0.727857143,,5.111111111,3.555555556,0.611111111,1.5,0.5,0.055555556,0.444444444,11.66666667,0,0.528571429,0.692307692,
abdursh01,830,0,28878,15028,1869,4370,6239,2109,820,638,2134,2324,11515,5434,4943,4006,519,154,6,0,129,55,8,21,29,7,2,0,13,27,43,23,15,9,3,0,18.1060241,7.51686747,2.251807229,5.265060241,2.540963855,0.987951807,0.768674699,34.79277108,2.571084337,0.471906209,0.810439005,0.29672447,9.166666667,4.833333333,1.333333333,3.5,1.166666667,0.333333333,0,21.5,2.166666667,0.534883721,0.6,0
abernto01,319,0,5434,1779,374,637,1011,384,185,60,129,525,1472,724,443,331,2,0,13,0,226,68,14,28,42,23,7,2,0,18,54,22,29,24,0,0,5.5768025,3.169278997,1.172413793,1.996865204,1.203761755,0.579937304,0.188087774,17.03448276,0.404388715,0.491847826,0.74717833,0,5.230769231,3.230769231,1.076923077,2.153846154,1.769230769,0.538461538,0.153846154,17.38461538,0,0.407407407,0.827586207,
ablefo01,1,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000,1,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,
abramjo01,91,0,0,719,0,0,0,37,0,0,0,267,855,275,239,169,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,5,3,2,0,0,7.9010989,0,0,0,0.406593407,0,0,0,0,0.321637427,0.707112971,,4,0,0,0,0,0,0,0,0,,0.666666667,
